Seq,Stamp,TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng,C1_Roll,C2_Pitch,C3_Throttle
8350,17:41.5,186916689,-2.87,6.16,37.63,-10.68,22.5556125,88.3083113,1500,1500,1574
8388,17:41.5,186957664,-3.46,5.02,38,-10.68,22.5556125,88.3083113,1500,1500,1573
8423,17:41.5,186996077,-2.66,2.78,38.03,-10.68,22.5556125,88.3083113,1500,1500,1571
8457,17:41.6,187036710,-0.2,1.17,37.36,-10.68,22.5556125,88.3083113,1500,1500,1571
8498,17:41.6,187078620,0.83,2.56,36.78,-10.7,22.5556175,88.3083177,1500,1500,1571
8532,17:41.7,187117265,-0.71,2.38,36.34,-10.7,22.5556175,88.3083177,1500,1500,1580
8570,17:41.7,187157467,-2.2,0.85,36.51,-10.7,22.5556175,88.3083177,1500,1500,1582
8605,17:41.7,187196665,-2.93,1.73,37.07,-10.7,22.5556175,88.3083177,1500,1500,1571
8640,17:41.8,187236748,-3.64,2.06,37.61,-10.7,22.5556175,88.3083177,1500,1500,1568
8681,17:41.8,187278510,-4.31,0.79,38.35,-10.97,22.5556225,88.3083248,1500,1500,1565
8716,17:41.9,187317673,-3.36,-1.17,38.71,-10.97,22.5556225,88.3083248,1500,1500,1565
8754,17:41.9,187357768,-0.73,-2.06,38.29,-10.97,22.5556225,88.3083248,1500,1500,1574
8791,17:41.9,187396531,0.47,-0.31,38.08,-10.97,22.5556225,88.3083248,1500,1500,1583
8825,17:42.0,187436865,-0.16,-1,37.84,-10.97,22.5556225,88.3083248,1500,1500,1592
8865,17:42.0,187478504,-1.16,-2.13,38.14,-10.76,22.5556282,88.3083306,1500,1500,1593
8900,17:42.1,187516582,-2.17,-0.87,38.7,-10.76,22.5556282,88.3083306,1500,1500,1602
8939,17:42.1,187557923,-3.01,-0.52,39.27,-10.76,22.5556282,88.3083306,1489,1500,1612
8974,17:42.1,187596155,-3.68,-1.82,39.93,-10.76,22.5556282,88.3083306,1492,1500,1621
9008,17:42.2,187636738,-2.65,-3.55,40.13,-10.76,22.5556282,88.3083306,1500,1500,1630
9048,17:42.2,187679185,-0.04,-3.54,39.54,-10.57,22.5556348,88.3083361,1447,1532,1638
9083,17:42.3,187717565,1.91,-1.61,39.17,-10.57,22.5556348,88.3083361,1445,1543,1652
9122,17:42.3,187757746,1.06,-2.64,38.87,-10.57,22.5556348,88.3083361,1436,1583,1678
9157,17:42.3,187797293,-0.5,-2.61,39.05,-10.57,22.5556348,88.3083361,1428,1598,1696
9191,17:42.4,187836919,-1.69,-0.93,39.42,-10.57,22.5556348,88.3083361,1426,1592,1699
9233,17:42.4,187878903,-2.75,-0.6,39.91,-10.68,22.5556414,88.3083426,1438,1584,1706
9269,17:42.5,187917055,-2.72,-1.74,40.16,-10.68,22.5556414,88.3083426,1410,1608,1706
9308,17:42.5,187957449,-0.26,-2.58,39.69,-10.68,22.5556414,88.3083426,1372,1638,1706
9343,17:42.5,187996668,2.14,-0.2,38.97,-10.68,22.5556414,88.3083426,1417,1631,1722
9377,17:42.6,188036744,1.64,0.69,38.41,-10.68,22.5556414,88.3083426,1436,1627,1731
9417,17:42.6,188078644,-0.48,-0.06,38.44,-11.13,22.5556464,88.3083492,1422,1637,1734
9451,17:42.7,188116681,-1.33,1.29,38.9,-11.13,22.5556464,88.3083492,1379,1660,1744
9490,17:42.7,188157673,-2.28,2.1,39.45,-11.13,22.5556464,88.3083492,1408,1653,1747
9525,17:42.7,188196003,-2.89,1.49,39.81,-11.13,22.5556464,88.3083492,1374,1652,1750
9560,17:42.8,188236631,-0.98,0.71,39.51,-11.13,22.5556464,88.3083492,1347,1652,1751
9601,17:42.8,188278662,1.63,3.07,38.92,-11.52,22.5556516,88.3083564,1344,1649,1753
9635,17:42.9,188317672,1.59,4.24,38.42,-11.52,22.5556516,88.3083564,1341,1646,1753
9674,17:42.9,188357513,-0.18,3.17,38.46,-11.52,22.5556516,88.3083564,1325,1624,1753
9709,17:42.9,188396719,-1.12,4.28,38.76,-11.52,22.5556516,88.3083564,1321,1624,1753
9745,17:43.0,188436803,-2.33,4.81,39.1,-11.52,22.5556516,88.3083564,1313,1638,1754
9785,17:43.0,188478397,-3.08,3.91,39.45,-10.93,22.5556586,88.3083608,1291,1640,1754
9819,17:43.1,188517246,-1.52,2.71,39.05,-10.93,22.5556586,88.3083608,1296,1642,1756
9859,17:43.1,188557773,0.71,4.44,38.08,-10.93,22.5556586,88.3083608,1309,1643,1757
9893,17:43.1,188596485,1.86,6.03,37.48,-10.93,22.5556586,88.3083608,1309,1650,1766
9928,17:43.2,188636797,0.15,4.94,37.37,-10.93,22.5556586,88.3083608,1312,1636,1769
9968,17:43.2,188678915,-0.95,5.69,37.53,-10.61,22.5556651,88.3083657,1312,1621,1766
10002,17:43.3,188717068,-2.12,6.23,37.69,-10.61,22.5556651,88.3083657,1304,1611,1760
10042,17:43.3,188758047,-3.06,5.19,37.94,-10.61,22.5556651,88.3083657,1302,1596,1751
10076,17:43.3,188796815,-1.91,3.46,37.56,-10.61,22.5556651,88.3083657,1302,1593,1742
10111,17:43.4,188836964,0.31,4,36.41,-10.61,22.5556651,88.3083657,1277,1593,1744
10153,17:43.4,188878962,1.95,5.75,35.71,-10.22,22.5556723,88.3083722,1272,1582,1753
10187,17:43.5,188917056,0.35,4.52,35.4,-10.22,22.5556723,88.3083722,1271,1574,1753
10228,17:43.5,188957471,-1.09,4.41,35.45,-10.22,22.5556723,88.3083722,1278,1561,1756
10262,17:43.5,188996849,-2.03,4.38,35.52,-10.22,22.5556723,88.3083722,1277,1561,1764
10296,17:43.6,189036651,-2.89,2.77,35.63,-10.22,22.5556723,88.3083722,1271,1560,1775
10337,17:43.6,189078396,-2.07,0.5,35.2,-10.63,22.5556789,88.3083806,1268,1560,1778
10371,17:43.7,189117348,0.33,0.05,33.83,-10.63,22.5556789,88.3083806,1242,1561,1781
10412,17:43.7,189157431,1.81,1.99,33.01,-10.63,22.5556789,88.3083806,1239,1558,1795
10446,17:43.7,189196683,0.38,1.26,32.51,-10.63,22.5556789,88.3083806,1233,1558,1804
10480,17:43.8,189236828,-1.07,1.04,32.44,-10.63,22.5556789,88.3083806,1231,1558,1807
10522,17:43.8,189278611,-1.96,1.47,32.35,-10.64,22.5556858,88.3083874,1231,1558,1808
10557,17:43.9,189317405,-2.79,0.19,32.36,-10.64,22.5556858,88.3083874,1231,1558,1808
10596,17:43.9,189357693,-2.22,-1.78,31.9,-10.64,22.5556858,88.3083874,1227,1560,1808
10630,17:43.9,189396060,0.2,-2.4,30.44,-10.64,22.5556858,88.3083874,1222,1561,1810
10664,17:44.0,189436837,1.15,-0.17,29.46,-10.64,22.5556858,88.3083874,1221,1562,1812
10707,17:44.0,189478522,-0.33,-0.54,28.94,-11,22.5556928,88.3083947,1193,1570,1812
10741,17:44.1,189516614,-1.78,-0.85,28.96,-11,22.5556928,88.3083947,1192,1571,1812
10781,17:44.1,189557818,-2.64,0.07,28.92,-11,22.5556928,88.3083947,1189,1574,1813
10815,17:44.1,189596676,-3.55,-0.67,29,-11,22.5556928,88.3083947,1190,1574,1812
10849,17:44.2,189636741,-2.97,-2.36,28.69,-11,22.5556928,88.3083947,1222,1565,1812
10890,17:44.2,189678723,-0.75,-3.08,27.51,-10.78,22.5557,88.3084009,1236,1560,1812
10924,17:44.3,189717757,-0.07,-0.74,26.54,-10.78,22.5557,88.3084009,1239,1565,1813
10963,17:44.3,189757883,-1.25,-0.76,26.13,-10.78,22.5557,88.3084009,1242,1568,1813
10998,17:44.3,189796937,-3.02,-1.39,26.31,-10.78,22.5557,88.3084009,1239,1576,1823
11032,17:44.4,189836745,-4.05,-0.3,26.53,-10.78,22.5557,88.3084009,1236,1583,1826
11073,17:44.4,189878474,-4.78,-0.43,26.81,-10.91,22.5557073,88.3084083,1231,1586,1833
11109,17:44.5,189916877,-4.5,-1.81,26.85,-10.91,22.5557073,88.3084083,1227,1587,1833
11147,17:44.5,189957513,-2.17,-2.75,26.08,-10.91,22.5557073,88.3084083,1211,1589,1835
11184,17:44.5,189996056,-0.97,-0.37,25.17,-10.91,22.5557073,88.3084083,1208,1592,1836
11218,17:44.6,190036655,-1.92,0.35,24.74,-10.91,22.5557073,88.3084083,1204,1592,1836
11259,17:44.6,190078643,-3.81,-0.18,24.93,-11.23,22.5557155,88.308415,1202,1593,1838
11293,17:44.7,190117078,-4.99,1.01,25.13,-11.23,22.5557155,88.308415,1198,1592,1839
11331,17:44.7,190157423,-5.81,1.32,25.39,-11.23,22.5557155,88.308415,1196,1589,1839
11366,17:44.7,190196748,-5.93,0.14,25.54,-11.23,22.5557155,88.308415,1193,1587,1839
11400,17:44.8,190236671,-3.99,-0.97,24.99,-11.23,22.5557155,88.308415,1190,1583,1839
11442,17:44.8,190278226,-1.92,1.21,23.97,-11.23,22.5557155,88.308415,1189,1578,1839
11477,17:44.9,190318042,-2.48,2.18,23.5,-11.73,22.5557235,88.3084208,1186,1578,1839
11515,17:44.9,190357523,-4.29,1.18,23.68,-11.73,22.5557235,88.3084208,1183,1578,1841
11550,17:44.9,190396456,-5.45,2.15,23.84,-11.73,22.5557235,88.3084208,1182,1576,1842
